cell_id	family	scenario	seed	truth_class	output_status	max_error	tolerance	correct
train-response-001	response	positive	6077377285662726398	UniqueAnswerable	Answer	1.1102230246251565e-16	2.0e-10	true
train-response-002	response	null	12149968326711568686	UniqueAnswerable	Answer	0.0	2.0e-10	true
train-response-003	response	weak_signal	8800065847885628581	UniqueAnswerable	Answer	4.669692638212958e-18	2.0e-12	true
train-response-004	response	basis_changed	3223733994256489139	UniqueAnswerable	Answer	3.3306690738754696e-16	2.0e-10	true
train-response-005	response	boundary_variant	11426958733079490051	UniqueAnswerable	Answer	3.3306690738754696e-16	2.0e-10	true
train-response-006	response	inhomogeneous	15532064137679342008	UniqueAnswerable	Answer	0.0	2.0e-10	true
train-response-007	response	equivalent_models	7224975060733443294	EquivalenceOnly	EquivalenceClassOnly	0.0	2.0e-10	true
train-response-008	response	missing_observation	16189929568645734276	ObservationInsufficient	InsufficientObservation	0.0	2.0e-10	true
train-response-009	response	out_of_domain	18023062844573014927	OutOfDomainTruth	OutOfDomain	0.0	2.0e-10	true
train-response-010	response	high_noise	10226976541400341960	NumericallyUnresolved	Abstain	0.0	2.0e-10	true
train-response-011	response	positive	12584686341037650749	UniqueAnswerable	Answer	1.1102230246251565e-16	2.0e-10	true
train-response-012	response	null	448952549898347088	UniqueAnswerable	Answer	0.0	2.0e-10	true
train-response-013	response	weak_signal	4411949435125957235	UniqueAnswerable	Answer	4.669692638212958e-18	2.0e-12	true
train-response-014	response	basis_changed	1333881277831885944	UniqueAnswerable	Answer	2.7755575615628914e-16	2.0e-10	true
train-response-015	response	boundary_variant	265819868550980059	UniqueAnswerable	Answer	1.3877787807814457e-17	2.0e-10	true
train-response-016	response	inhomogeneous	292618615147555332	UniqueAnswerable	Answer	5.551115123125783e-17	2.0e-10	true
train-response-017	response	equivalent_models	17357811683548617178	EquivalenceOnly	EquivalenceClassOnly	0.0	2.0e-10	true
train-response-018	response	missing_observation	6620326383966656114	ObservationInsufficient	InsufficientObservation	0.0	2.0e-10	true
train-response-019	response	out_of_domain	9419185512455488721	OutOfDomainTruth	OutOfDomain	0.0	2.0e-10	true
train-response-020	response	high_noise	16762329357804684272	NumericallyUnresolved	Abstain	0.0	2.0e-10	true
train-factorization-001	factorization	null	5069176878349952404	UniqueAnswerable	Answer	0.0	2.0e-10	true
train-factorization-002	factorization	weak_signal	10871045885411711096	UniqueAnswerable	Answer	0.0	2.0e-12	true
train-factorization-003	factorization	basis_changed	1137446578688165148	UniqueAnswerable	Answer	0.0	2.0e-10	true
train-factorization-004	factorization	boundary_variant	11080872802335703348	UniqueAnswerable	Answer	0.0	2.0e-10	true
train-factorization-005	factorization	inhomogeneous	12900746624758391359	UniqueAnswerable	Answer	0.0	2.0e-10	true
train-factorization-006	factorization	equivalent_models	83352810031996866	EquivalenceOnly	EquivalenceClassOnly	0.0	2.0e-10	true
train-factorization-007	factorization	missing_observation	4704670016840355196	ObservationInsufficient	InsufficientObservation	0.0	2.0e-10	true
train-factorization-008	factorization	out_of_domain	11335004532508658256	OutOfDomainTruth	OutOfDomain	0.0	2.0e-10	true
train-factorization-009	factorization	high_noise	3534588941660549574	NumericallyUnresolved	Abstain	0.0	2.0e-10	true
train-factorization-010	factorization	positive	15294937749161022806	UniqueAnswerable	Answer	0.0	2.0e-10	true
